PlateNo,Soil,Dilution,Dispersal,comple_info,plateID
1,A,1,No,soil-A-dilution-1-dispersal-No,Old_ND_1
2,A,10,No,soil-A-dilution-10-dispersal-No,Old_ND_2
3,A,100,No,soil-A-dilution-100-dispersal-No,Old_ND_3
4,B,1,No,soil-B-dilution-1-dispersal-No,Old_ND_4
5,B,10,No,soil-B-dilution-10-dispersal-No,Old_ND_5
6,B,100,No,soil-B-dilution-100-dispersal-No,Old_ND_6
7,C,1,No,soil-C-dilution-1-dispersal-No,Old_ND_7
8,C,10,No,soil-C-dilution-10-dispersal-No,Old_ND_8
9,C,100,No,soil-C-dilution-100-dispersal-No,Old_ND_9
10,D,1,No,soil-D-dilution-1-dispersal-No,Old_ND_10
11,D,10,No,soil-D-dilution-10-dispersal-No,Old_ND_11
12,D,100,No,soil-D-dilution-100-dispersal-No,Old_ND_12
13,A,1,Yes,soil-A-dilution-1-dispersal-Yes,Old_D_1
14,A,10,Yes,soil-A-dilution-10-dispersal-Yes,Old_D_2
15,A,100,Yes,soil-A-dilution-100-dispersal-Yes,Old_D_3
16,B,1,Yes,soil-B-dilution-1-dispersal-Yes,Old_D_4
17,B,10,Yes,soil-B-dilution-10-dispersal-Yes,Old_D_5
18,B,100,Yes,soil-B-dilution-100-dispersal-Yes,Old_D_6
19,C,1,Yes,soil-C-dilution-1-dispersal-Yes,Old_D_7
20,C,10,Yes,soil-C-dilution-10-dispersal-Yes,Old_D_8
21,C,100,Yes,soil-C-dilution-100-dispersal-Yes,Old_D_9
22,D,1,Yes,soil-D-dilution-1-dispersal-Yes,Old_D_10
23,D,10,Yes,soil-D-dilution-10-dispersal-Yes,Old_D_11
24,D,100,Yes,soil-D-dilution-100-dispersal-Yes,Old_D_12
25,,,,Blank,Blank1_1
26,,,,Blank,Blank2_1
27,,,,Blank,Blank3_1
28,,,,Blank,Blank4_1
1,A,1,No,soil-A-dilution-1-dispersal-No,Old_1
2,A,10,No,soil-A-dilution-10-dispersal-No,Old_2
3,A,100,No,soil-A-dilution-100-dispersal-No,Old_3
4,B,1,No,soil-B-dilution-1-dispersal-No,Old_4
5,B,10,No,soil-B-dilution-10-dispersal-No,Old_5
6,B,100,No,soil-B-dilution-100-dispersal-No,Old_6
7,C,1,No,soil-C-dilution-1-dispersal-No,Old_7
8,C,10,No,soil-C-dilution-10-dispersal-No,Old_8
9,C,100,No,soil-C-dilution-100-dispersal-No,Old_9
10,D,1,No,soil-D-dilution-1-dispersal-No,Old_10
11,D,10,No,soil-D-dilution-10-dispersal-No,Old_11
12,D,100,No,soil-D-dilution-100-dispersal-No,Old_12
13,A,1,Yes,soil-A-dilution-1-dispersal-Yes,Old_13
14,A,10,Yes,soil-A-dilution-10-dispersal-Yes,Old_14
15,A,100,Yes,soil-A-dilution-100-dispersal-Yes,Old_15
16,B,1,Yes,soil-B-dilution-1-dispersal-Yes,Old_16
17,B,10,Yes,soil-B-dilution-10-dispersal-Yes,Old_17
18,B,100,Yes,soil-B-dilution-100-dispersal-Yes,Old_18
19,C,1,Yes,soil-C-dilution-1-dispersal-Yes,Old_19
20,C,10,Yes,soil-C-dilution-10-dispersal-Yes,Old_20
21,C,100,Yes,soil-C-dilution-100-dispersal-Yes,Old_21
22,D,1,Yes,soil-D-dilution-1-dispersal-Yes,Old_22
23,D,10,Yes,soil-D-dilution-10-dispersal-Yes,Old_23
24,D,100,Yes,soil-D-dilution-100-dispersal-Yes,Old_24
25,,,,Blank,Old_25
26,,,,Blank,Old_26
27,,,,Blank,Old_27
28,,,,Blank,Old_28
